production_companies,revenue_avg
Don Simpson/Jerry Bruckheimer Films,218348521.8
DreamWorks,128992085.0
Wintergreen Productions,167461998.16666666
Disruption Entertainment,311594032.0
Protozoa Pictures,97758442.0
Heyday films,551339730.0
ScreenWest,0.0
Walt Disney Feature Animation,295475690.25
Government of Malta,39041505.0
Blue Sky Studios,508515252.0
Twentieth Century Fox Animation,436636365.6
XF2 Canada Productions,0.0
XM2 Productions,0.0
One Race Productions,98337295.0
Lin Pictures,159901979.75
Wigram Productions,316086894.0
Carolco International N.V.,0.0
Carolco Pictures,189885889.0
TriStar Pictures,98778191.95918368
Captivate Entertainment,415484914.0
PolyGram Filmed Entertainment,113552013.53846154
Lions Gate Films,49295149.222222224
Mark Gordon Productions,316055528.0
Mel's Cite du Cinema,90911229.63636364
Munich Film Partners & Company (MFP) MI2 Productions,0.0
Baltimore Spring Creek Productions,68073373.5
Bernd Eichinger Productions,0.0
Constantin Film Produktion,77049154.2
Haishang Films,0.0
Crystal Sky Pictures,85714390.5
GH One,0.0
Michael De Luca Productions,148196906.75
Vengeance Productions Pty. Ltd.,0.0
Double Negative,90247624.0
Pearl Street Films,8138788.0
Perfect World (Beijing) Pictures Co.,0.0
Flower Films (II),117344617.4
Tall Trees Productions,68915888.0
Brandywine Productions,137167121.66666666
Sony Pictures Entertainment,129385362.6
Alpha Core,104399548.0
Genre Films,316534931.6
Media Rights Capital,143389831.7
QED International,111414340.2
Simon Kinberg Productions,104399548.0
Sony Pictures Entertainment (SPE),143296643.2857143
Strike Entertainment,98980262.0
Anarchos Productions,107818750.0
Velocity Productions,0.0
Gracie Films,220344944.0
Road Rebel,39005509.0
Pink Machine,0.0
Tree Line Films,128227551.5
Monolith Pictures (III),0.0
Radical Studios,243400000.0
Canal+,79681208.46
Canal+ España,42498464.5
Constantin Film,0.0
La Petite Reine,66731968.5
Le Tax Shelter du Gouvernement Fédéral de Belgique,13099733.5
Les Editions Albert René,0.0
Novo RPI,0.0
Sorolla Films,0.0
TF1 Films Productions,48560409.0
Tri Pictures,0.0
uFilm,40847662.75
Lion Rock Productions,112042210.5
Perfect World Pictures,108758521.0
Esperanto Filmoj,83258226.0
Pacific Western,127663359.66666667
5150 Action,86833167.33333333
Gama Entertainment Partners,0.0
Constantin Film.,0.0
Marv Films,58059722.571428575
Flynn Picture Company,243400000.0
Global Entertainment Productions GmbH & Company Medien KG,134633480.5
Mutual Film Company,128593863.9090909
Section Eight,171049275.83333334
WV Films III,101702363.0
Epsilon Motion Pictures,56302221.615384616
Mandeville Films,119455469.25
NeoReel,247185544.0
Cappa Productions,182300000.0
Initial Entertainment Group (IEG),115157331.75
Miramax Films,72890078.92063493
Reliance BIG Entertainment,99616236.75
Atmosphere Entertainment MM,164484241.4
Hollywood Gang Productions,422610419.0
Kerner Entertainment Company,245717089.0
Sony Pictures Animation,232580751.7
Angry Films,179265204.0
Wardour Street Pictures,0.0
Blue Tulip Productions,181866285.5
Chartoff Productions,0.0
Digital Domain,0.0
K/O Paper Products,210222266.66666666
Odd Lot Entertainment,46761604.666666664
Taleswapper,0.0
Cheyenne Enterprises,53319885.625
The Saul Zaentz Company,926287400.0
80 Days Productions,0.0
Fitzwilliam Productions,0.0
Spanknyce Films,0.0
Canlaws Productions,0.0
Laurence Mark Productions,73488113.0
Mediastream Vierte Film GmbH & Co. Vermarktungs KG,90861155.0
BK,0.0
Calle Cruzada,0.0
Dune Films,51928484.25
Inside Track 3,0.0
KOH,0.0
Reino del Cielo,0.0
Franklin/Waterman Productions,0.0
Global Medien KG,0.0
International Traders,57777106.0
C & L,0.0
Dawliz,0.0
Mill Film,0.0
Digital Image Associates,139442066.0
Ronald Shusett/Gary Goldman,0.0
T2 Productions,0.0
Misher Films,107654845.0
Tribeca Productions,173435109.7
Film Rites,83174386.0
Escape Artists,116027489.91666667
Dreamworks Pictures,0.0
Everyman Pictures,203104239.5
Gary Sanchez Productions,122122506.66666667
Kopelson Entertainment,147608104.0
The Weinstein Company,78654330.71428572
Millennium Films,62532403.952380955
Nu Image Films,60715436.0
Wild Things Productions,0.0
Birnbaum/Barber,0.0
Cineroma SRL,0.0
French Tax Credit,0.0
Italian Tax Credit,96047633.0
Peninsula Films,228455002.5
Sony Pictures Releasing,143082228.25
Sony Pictures Worldwide Acquisitions (SPWA),37710610.0
StudioCanal,71346231.11428571
Beacon Communications,103382513.0
Bedford Falls Productions,160574114.5
Liberty Pictures,0.0
Lonely Film Productions GmbH & Co. KG.,37138380.5
Spring Creek Productions,116688163.5
EMJAG Productions,9489829.0
Red Granite Pictures,142674382.33333334
Sikelia Productions,294804195.0
Polygram Filmed Entertainment,183582631.5
Big Bug Pictures,0.0
ARD Degeto Film,9155631.0
Ascension Pictures,0.0
Cloud Atlas Productions,0.0
Dreams of Dragon Picture,0.0
Five Drops,0.0
Media Asia Group,0.0
X-Filme Creative Pool,28321177.714285713
Animal Logic,326680939.3333333
Catwoman Films,0.0
DiNovi Pictures,52626796.85714286
Frantic Films,0.0
Maple Shade Films,0.0
Mosaic Media Group,142611146.33333334
Sid & Marty Krofft Pictures,0.0
Davis-Films,111142245.45454545
Ex3 Productions,0.0
Fipex Holding,14708696.0
LionsGate,14109284.0
Alcon Entertainment,90233436.1111111
DMG Entertainment,75040629.0
Ehman Productions,0.0
"Enelmar Productions, A.I.E.",0.0
K. JAM Media,0.0
Surf Film,0.0
Castle Rock Entertainment,67475544.65517241
Working Title Films,102221075.60869566
Jasmine Productions Inc.,0.0
Jean Doumanian Productions,74188937.0
Magnolia Films,0.0
Sweetland Films,0.0
Imhotep Productions,0.0
Alberto Grimaldi Productions,0.0
Beijing New Picture Film Co. Ltd.,135129188.5
EDKO Film,213525736.0
New Picture Company,0.0
DreamWorks Pictures,63312955.75
Revolution Studios,86135599.81818181
Location Gourmet,112265139.0
Gaumont,19505836.25
HBO Films,88923251.0
Home Box Office (HBO),368744044.0
Allison Shearmur Productions,83707310.0
Film4,39292043.89285714
Goldcrest Pictures,135971641.8888889
Key Creatives,210819611.0
New Zealand Large Budget Screen Production Grant,0.0
Outlaw Sinema,134402450.0
Pendle Mountain Productions,0.0
British Broadcasting Corporation (BBC),88198893.0
Eidos Interactive,156505388.0
Marubeni,54040187.75
Toho-Towa,102511464.0
Straight Up Films,1397284.0
Giant Pictures,0.0
Origo Film Group,0.0
Le Studio Canal+,20350754.0
TCF Vancouver Productions,0.0
Firm Films,101361409.4
Millbrook Farm Productions,0.0
Prospect Park,0.0
Red Hour Films,93018104.85714285
Media Asia Films,10652498.0
Internationale Filmproduktion Stella-del-Sud Second,0.0
Ground Control,0.0
Scott Rudin Productions,104826540.25806452
Yellow Bird,0.0
Cinergi Pictures Entertainment,31140838.888888888
Internationale Filmproduktion Blackbird Dritte,14569747.0
LightWorkers Media,67800064.0
Sean Daniel Company,0.0
Bagdasarian Productions,402253319.0
Achte Babelsberg Film,0.0
United Artists,61661654.11111111
Happy Madison Productions,128864084.28
Stanley Kubrick Productions,115395604.0
Doom Buggy Productions,0.0
Gunn Films,128944644.25
South Side Amusement Company,0.0
Mirage Enterprises,102506749.83333333
Motion Picture JOTA Produktions,0.0
October Pictures,0.0
Rysher Entertainment,30188380.25
Kalima Productions GmbH & Co. KG,143896601.33333334
Metropolitan Filmexport,84371830.66666667
Red Wagon Productions,162242962.0
Red Horizon Productions,0.0
The Jacobson Company,64626786.0
First Light Production,87410358.0
National Geographic Society,0.0
Palomar Pictures (II),50547727.5
Dino De Laurentiis Company,33805088.23076923
Parkway Pictures (I),0.0
HCC Media Group,0.0
Nutcracker Holdings,0.0
Russian Roulette Ltd.,0.0
Vnesheconombank,0.0
