855,12
77953,2
18,13
37786,6
10501,4
57800,4
150689,24
7980,24
12,4
122,16
121,16
68737,16
1995,13
157353,8
331,17
61791,8
8204,16
47964,17
10733,19
9806,4
1408,10
32657,16
607,10
863,4
44048,17
5175,1
2655,8
22794,4
8355,4
116745,24
4327,17
1422,8
10674,4
7446,21
65754,8
1572,17
10528,10
271969,6
10865,4
258509,4
2253,8
10661,21
257344,21
644,6
10756,9
686,6
9383,17
179,1
76285,16
1996,13
291805,17
10003,17
1535,1
2067,5
46195,4
2277,21
4477,8
8665,8
9387,16
921,6
49852,27
4464,6
664,6
8358,6
9836,4
2502,8
9772,17
161,1
52451,17
76492,4
4523,9
59961,17
10481,2
59108,21
1581,23
9798,8
22897,23
298,1
7484,4
157350,10
853,12
10159,17
9593,16
1904,6
9615,8
297,24
9884,8
16858,6
62764,24
22538,10
9341,17
12107,9
9637,3
49049,5
9339,24
16281,9
39691,2
8247,16
11253,16
1949,8
8452,5
310,9
27578,17
954,17
70160,16
45243,2
364,27
7518,4
11544,4
9986,9
8656,6
9291,6
55301,4
109418,2
11665,1
6964,6
11324,8
12193,6
9928,4
754,1
10202,9
4147,8
50546,23
1701,1
13027,17
2289,6
20504,17
9574,2
11618,14
2300,4
10200,8
8834,8
228150,6
6068,23
41515,4
9023,4
38317,23
2157,10
14462,8
159824,4
49948,4
2135,10
9705,1
1656,10
12159,24
4442,13
75,9
9433,6
19959,17
11973,8
11228,17
77951,4
5491,5
10715,4
10197,6
9562,10
9922,6
9447,24
274854,16
8870,17
9992,4
36970,11
10077,17
76649,6
453,6
8587,4
72545,10
109451,4
9533,14
2023,10
71880,2
584,1
309809,4
4858,1
17711,4
328111,4
8698,13
93456,4
602,10
330,10
953,4
9693,8
36657,10
8909,1
9802,17
950,4
1824,23
2976,23
11026,14
75656,1
38365,2
594,6
15189,2
11678,17
6538,6
10555,4
1125,6
4551,2
612,8
9567,6
37821,15
203801,10
2539,2
9297,4
3172,23
6520,6
37958,24
2026,8
7450,4
11375,17
9425,5
25769,8
23685,4
11866,8
9741,8
211672,4
23629,13
8688,2
10153,5
153518,4
8676,23
20829,6
4349,8
9718,2
10808,9
197,6
25,6
35,4
11086,6
10477,5
1997,6
6947,8
3050,9
2675,8
809,4
920,4
4806,23
7451,17
228165,4
3595,17
16869,8
879,16
1573,17
9257,1
1903,8
9697,24
395,10
23398,4
10590,12
117263,17
200,17
44943,5
587,24
57212,6
152760,6
2756,17
33909,8
49017,24
9882,8
2270,16
978,6
44564,6
3132,17
8814,10
8427,17
52520,27
80585,6
10592,6
49021,17
10550,17
11258,1
12610,4
59981,4
201088,8
5137,17
3093,1
107846,17
188207,10
